146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413
155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129
163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525
171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413
178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643,178.643
185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104,185.104
190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737,190.737
195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526,195.526
199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497,199.497
202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709,202.709
205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242,205.242
207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190,207.190
208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652,208.652
209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721,209.721
210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483,210.483
