146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413,146.413
155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129,155.129
163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525,163.525
171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413,171.413
178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642,178.642
185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102,185.102
190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733,190.733
195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519,195.519
199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484,199.484
202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684,202.684
205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196,205.196
207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109,207.109
208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512,208.512
209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485
210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094
210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386
210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386,210.386
210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094,210.094
209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485,209.485
