95.627,97.309,98.490,99.100,99.100,98.490,97.309,95.627,93.542,91.171,88.636,86.059,83.550,81.206,79.101,77.291,75.814,74.694,73.942,73.565,73.565,73.942,74.694,75.814,77.291,79.101,81.206,83.550,86.059,88.636,91.171,93.542
97.309,99.087,100.336,100.981,100.981,100.336,99.087,97.309,95.107,92.604,89.931,87.216,84.578,82.116,79.908,78.014,76.470,75.300,74.517,74.124,74.124,74.517,75.300,76.470,78.014,79.908,82.116,84.578,87.216,89.931,92.604,95.107
98.490,100.336,101.634,102.304,102.304,101.634,100.336,98.490,96.205,93.608,90.837,88.025,85.295,82.748,80.468,78.513,76.921,75.716,74.910,74.506,74.506,74.910,75.716,76.921,78.513,80.468,82.748,85.295,88.025,90.837,93.608,96.205
99.100,100.981,102.304,102.986,102.986,102.304,100.981,99.100,96.771,94.126,91.304,88.441,85.663,83.073,80.755,78.767,77.151,75.928,75.109,74.699,74.699,75.109,75.928,77.151,78.767,80.755,83.073,85.663,88.441,91.304,94.126,96.771
99.100,100.981,102.304,102.986,102.986,102.304,100.981,99.100,96.771,94.126,91.304,88.441,85.663,83.073,80.755,78.767,77.151,75.928,75.109,74.699,74.699,75.109,75.928,77.151,78.767,80.755,83.073,85.663,88.441,91.304,94.126,96.771
98.490,100.336,101.634,102.304,102.304,101.634,100.336,98.490,96.205,93.608,90.837,88.025,85.295,82.748,80.468,78.513,76.921,75.716,74.910,74.506,74.506,74.910,75.716,76.921,78.513,80.468,82.748,85.295,88.025,90.837,93.608,96.205
97.309,99.087,100.336,100.981,100.981,100.336,99.087,97.309,95.107,92.604,89.931,87.216,84.578,82.116,79.908,78.014,76.470,75.300,74.517,74.124,74.124,74.517,75.300,76.470,78.014,79.908,82.116,84.578,87.216,89.931,92.604,95.107
95.627,97.309,98.490,99.100,99.100,98.490,97.309,95.627,93.542,91.171,88.636,86.059,83.550,81.206,79.101,77.291,75.814,74.694,73.942,73.565,73.565,73.942,74.694,75.814,77.291,79.101,81.206,83.550,86.059,88.636,91.171,93.542
93.542,95.107,96.205,96.771,96.771,96.205,95.107,93.542,91.602,89.391,87.025,84.615,82.265,80.063,78.081,76.374,74.977,73.916,73.203,72.845,72.845,73.203,73.916,74.977,76.374,78.081,80.063,82.265,84.615,87.025,89.391,91.602
91.171,92.604,93.608,94.126,94.126,93.608,92.604,91.171,89.391,87.361,85.182,82.958,80.784,78.740,76.895,75.300,73.991,72.994,72.322,71.985,71.985,72.322,72.994,73.991,75.300,76.895,78.740,80.784,82.958,85.182,87.361,89.391
